# Source: NASA NTRS 19960008692, Appendix Table A.5 — Inconel 718 Creep Rupture Data (raw units)
# Columns: test_temperature_F, rupture_life_h, rupture_strength_psi
test_temperature_F,rupture_life_h,rupture_strength_psi
1000,27.8,158000
1000,133.2,150000
1000,256.0,145000
1000,814.9,140000
1000,1731.0,134000
1000,8473.0,124000
1000,21523.6,118000
1100,28.2,135000
1100,62.0,130000
1100,151.9,123000
1100,367.5,117000
1100,2327.6,105000
1100,10606.2,94000
1100,33990.7,86000
1200,10.6,115000
1200,30.8,108000
1200,150.0,96000
1200,747.2,87000
1200,3131.5,78000
1200,7263.0,68000
1200,10232.0,63000
1300,18.0,86000
1300,70.5,76000
1300,182.7,68000
1300,476.8,60000
1300,808.0,55000
1300,2870.7,44000
1300,6048.0,37000
